"featured","price","id","category","description","details","image_url","name","stock"
True,"69.99","56","Racing","Be one of the 20. The official game of the F1 World Championship.","{""dev"": ""Codemasters"", ""gpu"": ""RTX 3070""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2488620/header.jpg","F1 24",0
True,"14.99","58","Simulation","Let Loose. The boldest off-road racing experience.","{""dev"": ""Codemasters"", ""gpu"": ""GTX 1070""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1038250/header.jpg","Dirt 5",0
True,"39.99","49","Racing","The official GT World Challenge racing game.","{""dev"": ""Kunos"", ""ram"": ""16GB""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/805550/header.jpg","Assetto Corsa Competizione",0
True,"19.99","50","Racing","The most influential racing simulator of the decade.","{""dev"": ""Kunos"", ""ram"": ""8GB""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/244210/header.jpg","Assetto Corsa Ultimate",0
True,"19.99","92","Simulation","The ultimate Forza Horizon 5 expansion. Drive purpose-built rally monsters across the rugged Sierra Nueva.","{""dev"": ""Playground"", ""ram"": ""16GB""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1613281/header.jpg","Forza Horizon 5: Rally Adventure (DLC)",0
True,"19.99","87","Arcade","Race across land, water, and air.","{""dev"": ""Sumo Digital"", ""gpu"": ""GTX 460""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/212480/header.jpg","Sonic Racing Transformed",0
True,"19.99","93","Arcade","A tribute to classic arcade racers.","{""dev"": ""Aquiris"", ""gpu"": ""GTX 660""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/389140/header.jpg","Horizon Chase Turbo",0
True,"29.99","52","Arcade","Hustle by day and risk it all by night.","{""dev"": ""Ghost Games"", ""gpu"": ""GTX 1060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/1222680/header.jpg","Need for Speed Heat",0
True,"49.99","61","Arcade","Take on the American motorsports scene.","{""dev"": ""Ubisoft"", ""gpu"": ""GTX 1060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/646910/header.jpg","The Crew 2",0
True,"19.99","81","Simulation","Build the PC of your dreams.","{""dev"": ""Irregular Corp"", ""gpu"": ""GTX 1060""}","https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/621060/header.jpg","PC Building Simulator",0
